Sample,Analysis,Unit,SiO2,TiO2,Al2O3,Cr2O3,MnO,FeO,Fe2O3 ,MgO,CaO,Na2O,K2O,H2O,Total ,Si_T,Al_T,Ti_T,Fe3_T,Tsub,Ti_C,Al_C,Cr_C,Fe3_C,Fe2_C,Mg_C,Csub,Mn_B,Fe2_B,Ca_B,Na_B,Bsub,Ca_A,Na_A,K_A,Asub,Total 
FC-36,36 4-2,Shuksan blueschist-greenschist,54.47,0,5.88,0.01,0.17,13.99,5.48,8.48,1.29,5.9,0.05,2.1,97.821,7.972,0.028,,,8,,0.986,,0.604,1.559,1.85,5,0.021,0.153,0.202,1.623,1.999,,0.051,0.009,0.06,15.059
FC-36,36 4-3,Shuksan blueschist-greenschist,52.85,0.09,3.34,0.01,0.07,18.81,9.17,5.26,1.34,6.04,0.03,2.02,99.031,7.942,0.058,,,8,0.01,0.534,,1.037,2.239,1.178,4.999,0.009,0.125,0.216,1.65,2,,0.11,0.006,0.116,15.115
FC-36,36 4-4,Shuksan blueschist-greenschist,55.11,0.06,6.58,,0.12,14.49,5.01,8.24,1.28,6.39,0.01,2.09,99.38,7.938,0.062,,,8,0.007,1.055,,0.543,1.626,1.769,5,0.015,0.12,0.198,1.668,2.001,,0.117,0.002,0.119,15.12
FC-80,80b 4-1,Amphibolite,43.82,0.82,14.23,0.02,0.22,9.86,2.6,12.19,10.51,2.48,0.76,2.07,99.58,6.389,1.611,,,8,0.09,0.835,0.002,0.285,1.138,2.65,5,0.027,0.064,1.642,0.267,2,,0.434,0.141,0.575,15.575
FC-80,80b 4-2,Amphibolite,43.7,0.79,14.35,0.13,0.21,10.08,2.51,11.85,10.62,2.3,0.8,2.06,99.4,6.388,1.612,,,8,0.087,0.861,0.015,0.276,1.179,2.582,5,0.026,0.053,1.663,0.257,1.999,,0.395,0.149,0.544,15.543
FC-80,80b 4-3,Amphibolite,42.92,0.79,14.24,0.03,0.21,10.2,3.42,11.55,10.38,2.23,0.82,2.06,98.85,6.335,1.665,,,8,0.088,0.812,0.004,0.38,1.176,2.541,5.001,0.026,0.083,1.642,0.249,2,,0.389,0.154,0.543,15.544
FC-80,80b 3-1,Amphibolite,43.81,0.82,13.45,0.01,0.22,9.49,2.9,12.41,10.56,2.35,0.59,2.07,98.68,6.438,1.562,,,8,0.091,0.768,0.001,0.321,1.101,2.719,5.001,0.027,0.065,1.663,0.245,2,,0.425,0.111,0.536,15.537
FC-80,80b 3-2,Amphibolite,43.32,0.71,13.7,0.14,0.21,11.03,1.72,11.51,10.54,2.73,0.69,2.05,98.35,6.429,1.571,,,8,0.079,0.825,0.016,0.192,1.34,2.547,4.999,0.026,0.029,1.676,0.269,2,,0.517,0.131,0.648,15.647
FC-80,80b 3-4,Amphibolite,43.52,0.84,14.13,0.06,0.2,10.3,2.51,11.89,10.68,2.32,0.86,2.06,99.37,6.378,1.622,,,8,0.093,0.819,0.007,0.277,1.207,2.598,5.001,0.025,0.055,1.677,0.243,2,,0.416,0.161,0.577,15.578
FC-80,80b 2-2aa,Amphibolite,53.3,0.13,3.51,,0.32,13.49,0,14.5,12.66,0.79,0.15,2.07,100.92,7.633,0.367,,,8,0.014,0.226,,,1.616,3.096,4.991,,,1.943,0.057,2,,0.162,0.027,0.189,15.18
FC-80,80b 2-3aa,Amphibolite,54.69,0.03,2.22,,0.22,13.06,0.65,15.05,12.18,0.65,0.13,2.08,100.96,7.794,0.206,,,8,0.003,0.167,,0.07,1.557,3.197,5,0.02,,1.86,0.12,2,,0.06,0.024,0.084,15.084
FC-80,80b 2-4aa,Amphibolite,54.53,0.02,1.95,,0.43,13.74,0.08,14.77,12.53,0.58,0.13,2.08,100.84,7.811,0.189,,,8,0.002,0.14,,0.009,1.646,3.154,5,0.003,,1.923,0.074,2,,0.087,0.024,0.111,15.111
FC-83,83 4-1,Amphibolite,42.76,0.59,14.08,0.03,0.19,13.05,2.42,10.01,10.46,2.51,0.66,2.03,98.79,6.381,1.619,,,8,0.066,0.857,0.004,0.272,1.574,2.227,5,0.024,0.054,1.672,0.249,1.999,,0.477,0.126,0.603,15.602
FC-83,83 3-1,Amphibolite,43.24,0.51,13.19,,0.21,12.08,3.27,10.71,10.28,2.49,0.045,2.05,98.075,6.46,1.54,,,8,0.057,0.782,,0.368,1.408,2.385,5,0.027,0.101,1.645,0.227,2,,0.494,0.009,0.503,15.503
FC-83,83 3-2,Amphibolite,39.93,0.58,15.98,,0.17,13.87,2.26,8.78,10.69,2.71,0.58,2.02,97.57,6.089,1.911,,,8,0.067,0.962,,0.259,1.716,1.996,5,0.022,0.053,1.747,0.179,2.001,,0.623,0.113,0.736,15.737
FC-83,83 3-3,Amphibolite,42.92,0.6,13.32,,0.23,12.2,3.11,10.71,10.37,2.59,0.49,2.04,98.581,6.406,1.594,,,8,0.067,0.749,,0.349,1.451,2.383,4.999,0.029,0.072,1.658,0.241,2,,0.509,0.093,0.602,15.601
FC-83,83 2-4 (3-4),Amphibolite,42.2,0.53,14.31,0.01,0.21,12.8,2.85,10.06,10.36,2.72,0.58,2.03,98.661,6.314,1.686,,,8,0.06,0.838,0.001,0.321,1.536,2.244,5,0.027,0.066,1.661,0.247,2.001,,0.542,0.111,0.653,15.654
